kubernetes.pod_id,RESULT.@timestamp,RESULT.kubernetes.namespace_name,RESULT.cluster-name,RESULT.kubernetes.host,RESULT.WorkloadName,RESULT.WorkloadVersion,RESULT.WorkloadPreset,IterationID,RESULT.IterationIndex,RESULT.TestName,RESULT.Value,META.@timestamp,META.metadata.cscope.qdf0,META.metadata.cscope.qdf1,META.metadata.cscope.stepping,META.metadata.cscope.MEMINFO.FREQUENCY,META.metadata.cscope.MEMINFO.SIZE,META.metadata.cscope.MEMINFO.PART_NO,SVR.CPU.CPU Model,SVR.CPU.Microarchitecture,SVR.Power.TDP,SVR.System.Microcode,SVR.CPU.Base Frequency,SVR.CPU.Maximum Frequency,SVR.CPU.All-core Maximum Frequency,SVR.CPU.Thread(s) per Core,SVR.CPU.Core(s) per Socket,SVR.CPU.Socket(s),SVR.CPU.NUMA Node(s),SVR.CPU.L1d Cache,SVR.CPU.L1i Cache,SVR.CPU.L2 Cache,SVR.CPU.L3 Cache,SVR.CPU.Prefetchers,SVR.CPU.Turbo,SVR.ISA,SVR.Accelerators,SVR.Power.Power & Perf Policy,SVR.Power.Frequency Governer,SVR.Power.Frequency (MHz),SVR.Power.Max C-State,SVR.Memory.Installed,SVR.Memory.Buffers,SVR.Memory.Cached,SVR.Memory.MemAvailable,SVR.CPU.Stepping,SVR.CPU.Family,SVR.Memory.Huge Pages Size,SVR.Memory.Automatic NUMA Balancing,SVR.System.OS,SVR.System.Product Name,SVR.CPU.CPU(s),SVR.CPU.On-line CPU(s) List,SVR.Memory.MemTotal,SVR.Memory.MemFree,SVR.Drive(s),BIOS.kubernetes.pod_id,BIOS.type,BIOS.L1 Next Page Prefetcher,BIOS.AMP Prefetch,BIOS.Memory Encryption (TME),BIOS.Total Memory Encryption Multi-Tenant(TME-MT),BIOS.SW Guard Extensions (SGX),BIOS.SGX PRM Size,BIOS.Volatile Memory Mode,BIOS.SNC,BIOS.Fan PWM Offset,Measure.DIMM.Population,Measure.DIMM.Num,Measure.DIMM.Total,Measure.DIMM.PartNo,Measure.DIMM.Freq
001a6ff3-3472-41cf-a132-c9a9a5f19dc333,56:28.3,spr-hbm-cache-main-bkc39-2,flex,r009s017.fl30lne001,Memory Latency Checker Bandwidth,v3.9a-internal_0.1,default(SSE) | Bandwidth,001a6ff3-3472-41cf-a132-c9a9a5f19dc3_0,0,LLC Bandwidth (MB/s),255296.2969,52:39.1,Q2HS,Q2HS,B3,505.032704,64|0|64|0|64|0|64|0|64|0|64|0|64|0|64|0|64|0|64|0|64|0|64|0|64|0|64|0|64|0|64|0|16|16|16|16|16|16|16|16,HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM||||||||,Intel (R) Xeon (R) CPU Max 9460,SPR,350,0xac000160,2.2,3.5,2.7,2,40,2,8,48,32,2048,99840,DCU HW  DCU IP  L2 HW  L2 Adj.,Enabled,AVX:Yes AVX2:Yes AVX512F:Yes AVX512_VNNI:Yes AVX512_4VNNIW:No AVX512_BF16:Yes AES:Yes VAES:Yes AMX-BF16:Yes AMX-TILE:Yes AMX-INT8:Yes,QAT:0 DSA:8 IAX:0,Performance,performance,2200,9,1024GB (16x64GB DDR5 4800 MT/s [4800 MT/s]); 128GB (8x16GB HBM2 3200 MT/s [3200 MT/s]),155104,16918220,1036931272,8,6,2048,Disabled,Red Hat Enterprise Linux 8.2 (Ootpa),ArcherCity,160,0-159,1056507480,1023462952,** NAME **:nvme0n1 MODEL:INTEL SSDPELKX020T8 SIZE:1.8T FSTYPE: RQ-SIZE:1023 MIN-IO:512,,,,,,,,,,,,Abnormal/2+ Capacity,24,1152,|HMCG94MEBRA108N,4800
001a6ff3-3472-41cf-a132-c9a9a5f19dc333,01:07.4,spr-hbm-cache-main-bkc39-2,flex,r009s017.fl30lne001,Memory Latency Checker Bandwidth,v3.9a-internal_0.1,default(SSE) | Bandwidth,001a6ff3-3472-41cf-a132-c9a9a5f19dc3_1,1,LLC Bandwidth (MB/s),257120.7031,52:39.1,Q2HS,Q2HS,B3,505.032704,64|0|64|0|64|0|64|0|64|0|64|0|64|0|64|0|64|0|64|0|64|0|64|0|64|0|64|0|64|0|64|0|16|16|16|16|16|16|16|16,HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM||||||||,Intel (R) Xeon (R) CPU Max 9460,SPR,350,0xac000160,2.2,3.5,2.7,2,40,2,8,48,32,2048,99840,DCU HW  DCU IP  L2 HW  L2 Adj.,Enabled,AVX:Yes AVX2:Yes AVX512F:Yes AVX512_VNNI:Yes AVX512_4VNNIW:No AVX512_BF16:Yes AES:Yes VAES:Yes AMX-BF16:Yes AMX-TILE:Yes AMX-INT8:Yes,QAT:0 DSA:8 IAX:0,Performance,performance,2200,9,1024GB (16x64GB DDR5 4800 MT/s [4800 MT/s]); 128GB (8x16GB HBM2 3200 MT/s [3200 MT/s]),155104,16918220,1036931272,8,6,2048,Disabled,Red Hat Enterprise Linux 8.2 (Ootpa),ArcherCity,160,0-159,1056507480,1023462952,** NAME **:nvme0n1 MODEL:INTEL SSDPELKX020T8 SIZE:1.8T FSTYPE: RQ-SIZE:1023 MIN-IO:512,,,,,,,,,,,,Abnormal/2+ Capacity,24,1152,|HMCG94MEBRA108N,4800
001a6ff3-3472-41cf-a132-c9a9a5f19dc333,05:46.7,spr-hbm-cache-main-bkc39-2,flex,r009s017.fl30lne001,Memory Latency Checker Bandwidth,v3.9a-internal_0.1,default(SSE) | Bandwidth,001a6ff3-3472-41cf-a132-c9a9a5f19dc3_2,2,LLC Bandwidth (MB/s),255708.4063,52:39.1,Q2HS,Q2HS,B3,505.032704,64|0|64|0|64|0|64|0|64|0|64|0|64|0|64|0|64|0|64|0|64|0|64|0|64|0|64|0|64|0|64|0|16|16|16|16|16|16|16|16,HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM||||||||,Intel (R) Xeon (R) CPU Max 9460,SPR,350,0xac000160,2.2,3.5,2.7,2,40,2,8,48,32,2048,99840,DCU HW  DCU IP  L2 HW  L2 Adj.,Enabled,AVX:Yes AVX2:Yes AVX512F:Yes AVX512_VNNI:Yes AVX512_4VNNIW:No AVX512_BF16:Yes AES:Yes VAES:Yes AMX-BF16:Yes AMX-TILE:Yes AMX-INT8:Yes,QAT:0 DSA:8 IAX:0,Performance,performance,2200,9,1024GB (16x64GB DDR5 4800 MT/s [4800 MT/s]); 128GB (8x16GB HBM2 3200 MT/s [3200 MT/s]),155104,16918220,1036931272,8,6,2048,Disabled,Red Hat Enterprise Linux 8.2 (Ootpa),ArcherCity,160,0-159,1056507480,1023462952,** NAME **:nvme0n1 MODEL:INTEL SSDPELKX020T8 SIZE:1.8T FSTYPE: RQ-SIZE:1023 MIN-IO:512,,,,,,,,,,,,Abnormal/2+ Capacity,24,1152,|HMCG94MEBRA108N,4800
001a6ff3-3472-41cf-a132-c9a9a5f19dc333,56:28.3,spr-hbm-cache-main-bkc39-2,flex,r009s017.fl30lne001,Memory Latency Checker Bandwidth,v3.9a-internal_0.1,default(SSE) | Bandwidth,001a6ff3-3472-41cf-a132-c9a9a5f19dc3_0,0,Peak Bandwidth All Sockets 100R (MB/s),747063.6875,52:39.1,Q2HS,Q2HS,B3,505.032704,64|0|64|0|64|0|64|0|64|0|64|0|64|0|64|0|64|0|64|0|64|0|64|0|64|0|64|0|64|0|64|0|16|16|16|16|16|16|16|16,HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM||||||||,Intel (R) Xeon (R) CPU Max 9460,SPR,350,0xac000160,2.2,3.5,2.7,2,40,2,8,48,32,2048,99840,DCU HW  DCU IP  L2 HW  L2 Adj.,Enabled,AVX:Yes AVX2:Yes AVX512F:Yes AVX512_VNNI:Yes AVX512_4VNNIW:No AVX512_BF16:Yes AES:Yes VAES:Yes AMX-BF16:Yes AMX-TILE:Yes AMX-INT8:Yes,QAT:0 DSA:8 IAX:0,Performance,performance,2200,9,1024GB (16x64GB DDR5 4800 MT/s [4800 MT/s]); 128GB (8x16GB HBM2 3200 MT/s [3200 MT/s]),155104,16918220,1036931272,8,6,2048,Disabled,Red Hat Enterprise Linux 8.2 (Ootpa),ArcherCity,160,0-159,1056507480,1023462952,** NAME **:nvme0n1 MODEL:INTEL SSDPELKX020T8 SIZE:1.8T FSTYPE: RQ-SIZE:1023 MIN-IO:512,,,,,,,,,,,,Abnormal/2+ Capacity,24,1152,|HMCG94MEBRA108N,4800
001a6ff3-3472-41cf-a132-c9a9a5f19dc333,01:07.5,spr-hbm-cache-main-bkc39-2,flex,r009s017.fl30lne001,Memory Latency Checker Bandwidth,v3.9a-internal_0.1,default(SSE) | Bandwidth,001a6ff3-3472-41cf-a132-c9a9a5f19dc3_1,1,Peak Bandwidth All Sockets 100R (MB/s),745500.625,52:39.1,Q2HS,Q2HS,B3,505.032704,64|0|64|0|64|0|64|0|64|0|64|0|64|0|64|0|64|0|64|0|64|0|64|0|64|0|64|0|64|0|64|0|16|16|16|16|16|16|16|16,HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM||||||||,Intel (R) Xeon (R) CPU Max 9460,SPR,350,0xac000160,2.2,3.5,2.7,2,40,2,8,48,32,2048,99840,DCU HW  DCU IP  L2 HW  L2 Adj.,Enabled,AVX:Yes AVX2:Yes AVX512F:Yes AVX512_VNNI:Yes AVX512_4VNNIW:No AVX512_BF16:Yes AES:Yes VAES:Yes AMX-BF16:Yes AMX-TILE:Yes AMX-INT8:Yes,QAT:0 DSA:8 IAX:0,Performance,performance,2200,9,1024GB (16x64GB DDR5 4800 MT/s [4800 MT/s]); 128GB (8x16GB HBM2 3200 MT/s [3200 MT/s]),155104,16918220,1036931272,8,6,2048,Disabled,Red Hat Enterprise Linux 8.2 (Ootpa),ArcherCity,160,0-159,1056507480,1023462952,** NAME **:nvme0n1 MODEL:INTEL SSDPELKX020T8 SIZE:1.8T FSTYPE: RQ-SIZE:1023 MIN-IO:512,,,,,,,,,,,,Abnormal/2+ Capacity,24,1152,|HMCG94MEBRA108N,4800
001a6ff3-3472-41cf-a132-c9a9a5f19dc333,05:46.7,spr-hbm-cache-main-bkc39-2,flex,r009s017.fl30lne001,Memory Latency Checker Bandwidth,v3.9a-internal_0.1,default(SSE) | Bandwidth,001a6ff3-3472-41cf-a132-c9a9a5f19dc3_2,2,Peak Bandwidth All Sockets 100R (MB/s),749758,52:39.1,Q2HS,Q2HS,B3,505.032704,64|0|64|0|64|0|64|0|64|0|64|0|64|0|64|0|64|0|64|0|64|0|64|0|64|0|64|0|64|0|64|0|16|16|16|16|16|16|16|16,HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM||||||||,Intel (R) Xeon (R) CPU Max 9460,SPR,350,0xac000160,2.2,3.5,2.7,2,40,2,8,48,32,2048,99840,DCU HW  DCU IP  L2 HW  L2 Adj.,Enabled,AVX:Yes AVX2:Yes AVX512F:Yes AVX512_VNNI:Yes AVX512_4VNNIW:No AVX512_BF16:Yes AES:Yes VAES:Yes AMX-BF16:Yes AMX-TILE:Yes AMX-INT8:Yes,QAT:0 DSA:8 IAX:0,Performance,performance,2200,9,1024GB (16x64GB DDR5 4800 MT/s [4800 MT/s]); 128GB (8x16GB HBM2 3200 MT/s [3200 MT/s]),155104,16918220,1036931272,8,6,2048,Disabled,Red Hat Enterprise Linux 8.2 (Ootpa),ArcherCity,160,0-159,1056507480,1023462952,** NAME **:nvme0n1 MODEL:INTEL SSDPELKX020T8 SIZE:1.8T FSTYPE: RQ-SIZE:1023 MIN-IO:512,,,,,,,,,,,,Abnormal/2+ Capacity,24,1152,|HMCG94MEBRA108N,4800
001a6ff3-3472-41cf-a132-c9a9a5f19dc333,56:28.4,spr-hbm-cache-main-bkc39-2,flex,r009s017.fl30lne001,Memory Latency Checker Bandwidth,v3.9a-internal_0.1,default(SSE) | Bandwidth,001a6ff3-3472-41cf-a132-c9a9a5f19dc3_0,0,Peak Bandwidth All Sockets 100W (MB/s),420237.4063,52:39.1,Q2HS,Q2HS,B3,505.032704,64|0|64|0|64|0|64|0|64|0|64|0|64|0|64|0|64|0|64|0|64|0|64|0|64|0|64|0|64|0|64|0|16|16|16|16|16|16|16|16,HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM||||||||,Intel (R) Xeon (R) CPU Max 9460,SPR,350,0xac000160,2.2,3.5,2.7,2,40,2,8,48,32,2048,99840,DCU HW  DCU IP  L2 HW  L2 Adj.,Enabled,AVX:Yes AVX2:Yes AVX512F:Yes AVX512_VNNI:Yes AVX512_4VNNIW:No AVX512_BF16:Yes AES:Yes VAES:Yes AMX-BF16:Yes AMX-TILE:Yes AMX-INT8:Yes,QAT:0 DSA:8 IAX:0,Performance,performance,2200,9,1024GB (16x64GB DDR5 4800 MT/s [4800 MT/s]); 128GB (8x16GB HBM2 3200 MT/s [3200 MT/s]),155104,16918220,1036931272,8,6,2048,Disabled,Red Hat Enterprise Linux 8.2 (Ootpa),ArcherCity,160,0-159,1056507480,1023462952,** NAME **:nvme0n1 MODEL:INTEL SSDPELKX020T8 SIZE:1.8T FSTYPE: RQ-SIZE:1023 MIN-IO:512,,,,,,,,,,,,Abnormal/2+ Capacity,24,1152,|HMCG94MEBRA108N,4800
001a6ff3-3472-41cf-a132-c9a9a5f19dc333,01:07.5,spr-hbm-cache-main-bkc39-2,flex,r009s017.fl30lne001,Memory Latency Checker Bandwidth,v3.9a-internal_0.1,default(SSE) | Bandwidth,001a6ff3-3472-41cf-a132-c9a9a5f19dc3_1,1,Peak Bandwidth All Sockets 100W (MB/s),422152,52:39.1,Q2HS,Q2HS,B3,505.032704,64|0|64|0|64|0|64|0|64|0|64|0|64|0|64|0|64|0|64|0|64|0|64|0|64|0|64|0|64|0|64|0|16|16|16|16|16|16|16|16,HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM||||||||,Intel (R) Xeon (R) CPU Max 9460,SPR,350,0xac000160,2.2,3.5,2.7,2,40,2,8,48,32,2048,99840,DCU HW  DCU IP  L2 HW  L2 Adj.,Enabled,AVX:Yes AVX2:Yes AVX512F:Yes AVX512_VNNI:Yes AVX512_4VNNIW:No AVX512_BF16:Yes AES:Yes VAES:Yes AMX-BF16:Yes AMX-TILE:Yes AMX-INT8:Yes,QAT:0 DSA:8 IAX:0,Performance,performance,2200,9,1024GB (16x64GB DDR5 4800 MT/s [4800 MT/s]); 128GB (8x16GB HBM2 3200 MT/s [3200 MT/s]),155104,16918220,1036931272,8,6,2048,Disabled,Red Hat Enterprise Linux 8.2 (Ootpa),ArcherCity,160,0-159,1056507480,1023462952,** NAME **:nvme0n1 MODEL:INTEL SSDPELKX020T8 SIZE:1.8T FSTYPE: RQ-SIZE:1023 MIN-IO:512,,,,,,,,,,,,Abnormal/2+ Capacity,24,1152,|HMCG94MEBRA108N,4800
001a6ff3-3472-41cf-a132-c9a9a5f19dc333,05:46.7,spr-hbm-cache-main-bkc39-2,flex,r009s017.fl30lne001,Memory Latency Checker Bandwidth,v3.9a-internal_0.1,default(SSE) | Bandwidth,001a6ff3-3472-41cf-a132-c9a9a5f19dc3_2,2,Peak Bandwidth All Sockets 100W (MB/s),421327.5,52:39.1,Q2HS,Q2HS,B3,505.032704,64|0|64|0|64|0|64|0|64|0|64|0|64|0|64|0|64|0|64|0|64|0|64|0|64|0|64|0|64|0|64|0|16|16|16|16|16|16|16|16,HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM||||||||,Intel (R) Xeon (R) CPU Max 9460,SPR,350,0xac000160,2.2,3.5,2.7,2,40,2,8,48,32,2048,99840,DCU HW  DCU IP  L2 HW  L2 Adj.,Enabled,AVX:Yes AVX2:Yes AVX512F:Yes AVX512_VNNI:Yes AVX512_4VNNIW:No AVX512_BF16:Yes AES:Yes VAES:Yes AMX-BF16:Yes AMX-TILE:Yes AMX-INT8:Yes,QAT:0 DSA:8 IAX:0,Performance,performance,2200,9,1024GB (16x64GB DDR5 4800 MT/s [4800 MT/s]); 128GB (8x16GB HBM2 3200 MT/s [3200 MT/s]),155104,16918220,1036931272,8,6,2048,Disabled,Red Hat Enterprise Linux 8.2 (Ootpa),ArcherCity,160,0-159,1056507480,1023462952,** NAME **:nvme0n1 MODEL:INTEL SSDPELKX020T8 SIZE:1.8T FSTYPE: RQ-SIZE:1023 MIN-IO:512,,,,,,,,,,,,Abnormal/2+ Capacity,24,1152,|HMCG94MEBRA108N,4800
001a6ff3-3472-41cf-a132-c9a9a5f19dc333,56:28.3,spr-hbm-cache-main-bkc39-2,flex,r009s017.fl30lne001,Memory Latency Checker Bandwidth,v3.9a-internal_0.1,default(SSE) | Bandwidth,001a6ff3-3472-41cf-a132-c9a9a5f19dc3_0,0,Peak Bandwidth All Sockets 2R1W NTW (MB/s),477118.0938,52:39.1,Q2HS,Q2HS,B3,505.032704,64|0|64|0|64|0|64|0|64|0|64|0|64|0|64|0|64|0|64|0|64|0|64|0|64|0|64|0|64|0|64|0|16|16|16|16|16|16|16|16,HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM||||||||,Intel (R) Xeon (R) CPU Max 9460,SPR,350,0xac000160,2.2,3.5,2.7,2,40,2,8,48,32,2048,99840,DCU HW  DCU IP  L2 HW  L2 Adj.,Enabled,AVX:Yes AVX2:Yes AVX512F:Yes AVX512_VNNI:Yes AVX512_4VNNIW:No AVX512_BF16:Yes AES:Yes VAES:Yes AMX-BF16:Yes AMX-TILE:Yes AMX-INT8:Yes,QAT:0 DSA:8 IAX:0,Performance,performance,2200,9,1024GB (16x64GB DDR5 4800 MT/s [4800 MT/s]); 128GB (8x16GB HBM2 3200 MT/s [3200 MT/s]),155104,16918220,1036931272,8,6,2048,Disabled,Red Hat Enterprise Linux 8.2 (Ootpa),ArcherCity,160,0-159,1056507480,1023462952,** NAME **:nvme0n1 MODEL:INTEL SSDPELKX020T8 SIZE:1.8T FSTYPE: RQ-SIZE:1023 MIN-IO:512,,,,,,,,,,,,Abnormal/2+ Capacity,24,1152,|HMCG94MEBRA108N,4800
001a6ff3-3472-41cf-a132-c9a9a5f19dc333,01:07.5,spr-hbm-cache-main-bkc39-2,flex,r009s017.fl30lne001,Memory Latency Checker Bandwidth,v3.9a-internal_0.1,default(SSE) | Bandwidth,001a6ff3-3472-41cf-a132-c9a9a5f19dc3_1,1,Peak Bandwidth All Sockets 2R1W NTW (MB/s),477319.5,52:39.1,Q2HS,Q2HS,B3,505.032704,64|0|64|0|64|0|64|0|64|0|64|0|64|0|64|0|64|0|64|0|64|0|64|0|64|0|64|0|64|0|64|0|16|16|16|16|16|16|16|16,HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM|HMCG94MEBRA108N|NO DIMM||||||||,Intel (R) Xeon (R) CPU Max 9460,SPR,350,0xac000160,2.2,3.5,2.7,2,40,2,8,48,32,2048,99840,DCU HW  DCU IP  L2 HW  L2 Adj.,Enabled,AVX:Yes AVX2:Yes AVX512F:Yes AVX512_VNNI:Yes AVX512_4VNNIW:No AVX512_BF16:Yes AES:Yes VAES:Yes AMX-BF16:Yes AMX-TILE:Yes AMX-INT8:Yes,QAT:0 DSA:8 IAX:0,Performance,performance,2200,9,1024GB (16x64GB DDR5 4800 MT/s [4800 MT/s]); 128GB (8x16GB HBM2 3200 MT/s [3200 MT/s]),155104,16918220,1036931272,8,6,2048,Disabled,Red Hat Enterprise Linux 8.2 (Ootpa),ArcherCity,160,0-159,1056507480,1023462952,** NAME **:nvme0n1 MODEL:INTEL SSDPELKX020T8 SIZE:1.8T FSTYPE: RQ-SIZE:1023 MIN-IO:512,,,,,,,,,,,,Abnormal/2+ Capacity,24,1152,|HMCG94MEBRA108N,4800
